Rk,Pick,YR,HT,PLAYER,TEAM,CONF,G,ROLE,MIN_PCT,PRPG,D_PRPG,BPM,OBPM,DBPM,ORTG,DRTG,USG,EFG,TS,OR,DR,AST,TO,A_TO,BLK,STL,FTR,FC40,DUNKS_MADE_ATT,DUNKS_PCT,CLOSE_2_MADE_ATT,CLOSE_2_PCT,FAR_2_MADE_ATT,FAR_2_PCT,FT_MADE_ATT,FT_PCT,2P_MADE_ATT,2P_PCT,3PR,3P_PER_100,3P_MADE_ATT,3P_PCT
502,-,Sr,6-4,Larry Hughes II,Cal St. Northridge,BW,31,Combo G,77.3,2.6,2.6,2.1,1.7,0.4,113.5,111.2,21.3,53.4,57.9,0.6,8.7,5.1,11.0,0.7,1.0,2.5,28.6,3.7,3-3,1.000,23-46,.500,62-140,.443,104-121,.860,85-186,.457,56.0,12.6,94-237,.397
503,-,Sr,6-6,Evan Mahaffey,Akron,MAC,33,Wing G,72.4,2.6,3.2,5.2,2.2,3.1,125.0,102.6,17.6,58.5,58.6,8.3,13.7,18.8,14.4,2.7,2.8,3.3,25.0,3.3,31-31,1.000,102-144,.708,25-61,.410,35-62,.565,127-205,.620,17.3,2.5,12-43,.279
504,-,So,6-4,Ty Robinson,Central Arkansas,ASun,32,Wing G,68.9,2.6,2.9,5.4,3.9,1.5,122.0,104.4,22.5,57.4,59.9,6.8,16.9,14.2,10.3,1.8,1.3,3.9,25.4,3.5,0-0,.000,74-114,.649,15-36,.417,66-86,.767,89-150,.593,55.6,12.1,70-188,.372
505,-,Jr,6-1,Jahari Williamson,Kent St.,MAC,32,Combo G,63.2,2.6,1.8,2.9,2.6,0.3,136.0,113.9,13.8,61.5,64.4,2.9,5.6,6.0,6.3,2.2,0.1,1.9,28.6,3.2,0-0,.000,16-30,.533,8-24,.333,53-65,.815,24-54,.444,76.2,11.6,77-173,.445
506,-,Sr,6-6,Casey Simmons,Yale,Ivy,29,Wing G,66.9,2.6,2.3,2.4,2.1,0.2,126.3,109.4,17.2,59.6,61.3,5.5,12.8,7.2,8.6,1.7,2.9,1.6,38.3,3.1,16-16,1.000,87-136,.640,15-33,.455,55-82,.671,102-169,.604,21.0,3.5,17-45,.378
507,-,Sr,6-9,Khamari McGriff,Kansas St.,B12,28,C,44.2,2.6,2.2,4.0,1.8,2.1,127.0,103.3,18.6,68.4,68.7,8.9,15.4,9.4,14.5,1.0,5.5,1.7,44.2,6.4,19-19,1.000,94-120,.783,16-38,.421,48-72,.667,110-158,.696,3.1,0.5,1-5,.200
508,-,Sr,5-11,Bernie Blunt,Mercyhurst,NEC,32,Combo G,77.9,2.6,2.2,1.4,2.9,-1.5,110.6,114.0,28.4,47.8,54.6,2.4,10.1,14.6,9.1,1.7,0.1,2.2,39.1,2.3,0-0,.000,65-133,.489,47-110,.427,146-169,.864,112-243,.461,43.8,11.6,63-189,.333
509,-,Sr,6-4,Zane Nelson,Denver,Sum,29,Combo G,62.2,2.6,1.3,1.7,3.2,-1.6,115.5,119.3,26.7,52.9,57.2,2.2,15.0,19.6,13.4,1.6,0.7,2.3,36.5,3.9,0-1,.000,34-81,.420,37-80,.463,84-108,.778,71-161,.441,45.6,10.8,57-135,.422
510,-,Fr,5-11,Aiden Argabright,Richmond,A10,30,Scoring PG,56.8,2.6,2.0,1.9,1.2,0.7,122.5,109.8,21.4,48.7,60.0,1.3,8.3,16.0,8.9,2.6,0.0,2.7,88.4,3.7,0-0,.000,21-37,.568,31-76,.408,139-168,.827,52-113,.460,40.5,6.3,27-77,.351
511,-,Jr,7-0,Patrick Wessler,UNC Wilmington,CAA,32,C,67.8,2.6,3.2,3.1,2.4,0.7,116.0,100.8,24.8,58.8,58.5,13.7,24.4,9.1,13.4,0.8,3.6,1.3,52.0,4.3,13-13,1.000,136-200,.680,38-95,.400,84-154,.545,174-295,.590,0.3,0.1,0-1,.000
